id,name,lat,lon,strategy,source
way/98874543,Saint Michael's Church,51.3559622,-2.3285616,A4,osm
way/99095132,Saint Michael,52.7961157,1.2507042,A4,osm
way/100060915,St Michael and All Angels Mickleham,51.2675189,-0.3232749,A4,osm
way/101077819,St Michael and All Angels Uffington,52.6570537,-0.4319842,A4,osm
way/102917180,St Michael & All Angels,51.6519065,-0.7521764,A4,osm
way/103970814,The Catholic Church of St Michael The Archangel,52.332187,-0.1731439,A4,osm
way/104182637,Saint Michael's,52.7300389,1.5018942,A4,osm
way/104381218,St Michael's,52.8240321,-1.2530779,A4,osm
way/104867865,St Michael,52.0024915,1.1894309,A4,osm
way/104888762,St Michael,51.0817188,-2.3493838,A4,osm
way/105738218,St. Michael and All Angels,52.0841061,-2.9391305,A4,osm
way/106084477,Chapel of St Michael,50.7267581,-3.0659459,A4,osm
way/106784516,St Michael's Parish Handsworth,52.5003234,-1.9239154,A4,osm
way/107063680,Church of Saint Michael and All Angels,51.6329387,-3.002705,A4,osm
way/107382010,Saint Michael and All Angels,52.7249458,0.9747965,A4,osm
way/107501762,"St Michael's, Kirk Langley",52.9463121,-1.5751491,A4,osm
way/108048205,St Michael and All Angels,51.5852924,-0.0296003,A4,osm
way/108520129,St Michael's Church,53.184207,-0.1467448,A4,osm
way/108818942,"St Michael's, Leaden Roding",51.7952933,0.3042856,A4,osm
way/109187564,"St Michael's, Churchill",52.1800958,-2.1143015,A4,osm
way/109775456,"St Michael, North Piddle",52.1890776,-2.0483439,A4,osm
way/109883540,St Michael And All Angels,52.3762372,-1.9841073,A4,osm
way/110137115,Saint Michael and All Angels,52.7435891,1.4703902,A4,osm
way/111142409,St Michael,52.0094869,-1.5467574,A4,osm
way/111868876,Saint Michael,51.6748487,-0.5324706,A4,osm
way/112810639,St Michael and All Angels,51.0999075,0.1323285,A4,osm
way/113953448,St Michael's,52.4586113,1.5621162,A4,osm
way/114938804,St Michael's Church,51.2336919,-0.2674017,A4,osm
way/115376120,Parish Church of Saint Michael's and All Angels,53.3642284,0.0012236,A4,osm
way/115565965,St Michael,52.2567495,-2.1851316,A4,osm
way/115600633,"Saint Michael and All Saints, Wadenhoe",52.4382609,-0.5177095,A4,osm
way/116406472,St Michael's Church,51.5688676,-0.1502814,A4,osm
way/117628054,Saint Michael's Church,52.2637967,-0.6417455,A4,osm
way/117858087,St Mary and St Michael,51.944356,1.0742543,A4,osm
way/118979756,St Michael the Archangel,51.0892872,-2.271076,A4,osm
way/119353329,St Michael's Church,50.7203095,-1.8888583,A4,osm
way/119495948,Saint Michael,52.7624434,1.1126486,A4,osm
way/121519683,St Michael & All Angels,50.9931607,-2.2948541,A4,osm
way/121635941,"St. Michael's Church, Stoke Gifford",51.5150053,-2.5452532,A4,osm
way/122365422,St Michael and All Angels Church,51.0546325,-2.7283889,A4,osm
way/122750100,St Michael & All Angels,52.2842201,-2.8078571,A4,osm
way/123090965,St Michael at the Northgate,51.7537615,-1.2583589,A4,osm
way/123372766,St. Michael,51.3865418,-2.4828512,A4,osm
way/124549175,Saint Michael and All Angels,52.9073498,1.3588258,A4,osm
way/124635745,Saint Michael and All Angels,52.7680109,1.303776,A4,osm
way/124760360,St Michael's Catholic Church,50.6855594,-1.0815585,A4,osm
way/124809185,St Michael,53.2476542,-3.6397348,A4,osm
way/124896770,Church of St Michael,53.3058025,-3.3685832,A4,osm
way/126063767,Saint Michael and All Angels,51.6396611,-3.9496386,A4,osm
way/126129758,Saint Michael and All Angels,51.4400891,-2.5915162,A4,osm
way/126358541,Saint Michael & All Angels,51.7899553,-2.7376569,A4,osm
way/127643023,St Michael & All Angels,51.2600195,-2.3524899,A4,osm
way/131296639,Saint Michael and All Angels,51.7629862,-1.2349427,A4,osm
way/131614415,St Michael and All Angels,51.8464733,-0.9268173,A4,osm
way/132766199,Church of St Michael & All Angels,52.3387003,-2.1709105,A4,osm
way/135039478,St Michael & All Angels,50.7449146,-3.4822032,A4,osm
way/136141463,Old Church of St Michael,52.3083697,-2.3630283,A4,osm
way/136173349,St Michael & All Angels,50.7190726,-1.1688042,A4,osm
way/136287476,Saint Michael and All Angels,51.9569275,-1.4204264,A4,osm
way/136326077,Saint Michael and All Angels,51.8357321,-1.5390203,A4,osm
way/136620601,Saint Michael's Church,51.7035374,-2.6794055,A4,osm
way/136789257,St. Michael's and All Angels' Church,51.5086441,-1.5316041,A4,osm
way/137211780,Church of Saint Michael on Greenhill,52.6831517,-1.8183009,A4,osm
way/137701549,St Michael,51.0700539,-1.9597922,A4,osm
way/138265820,Saint Michael & All Angels,51.8797428,-2.9820087,A4,osm
way/138704317,St Michael's Church,52.6611994,-3.965844,A4,osm
way/139098528,St Michael and All Angels,51.750942,0.3823762,A4,osm
way/139787283,Saint Michael's Church,52.529273,1.2261224,A4,osm
way/139806967,Parish Church of St Michael,50.7309965,-2.6674417,A4,osm
