id,name,lat,lon,type,source
node/5908295909,node/5908295909,51.1107392,-0.8955015,tumulus,osm
node/6001283366,node/6001283366,51.6142816,-2.7947414,tumulus,osm
node/6046284650,node/6046284650,51.1368928,-0.8478835,tumulus,osm
node/6046284900,node/6046284900,51.1198369,-0.8775345,tumulus,osm
node/6046284902,node/6046284902,51.1203457,-0.8762639,tumulus,osm
node/6046284904,node/6046284904,51.1164625,-0.8802164,tumulus,osm
node/6094023524,South Regis Common Round Barrow,51.1462088,-3.8427,tumulus,osm
node/6245758411,node/6245758411,53.2329272,-1.931824,tumulus,osm
node/6353968048,node/6353968048,52.5098648,-2.8795715,tumulus,osm
node/6354539657,node/6354539657,53.1323395,-1.7391376,tumulus,osm
node/6401828960,node/6401828960,52.411843,0.8834385,tumulus,osm
node/6401828975,node/6401828975,52.4117064,0.8814691,tumulus,osm
node/6495499507,node/6495499507,51.8757735,-4.6224716,tumulus,osm
node/6502281925,Carn Ingli Round Barrows,52.0069556,-4.8214297,tumulus,osm
node/6581997396,Pixie's Mound,51.2039289,-3.1335782,tumulus,osm
node/6582788027,node/6582788027,51.249191,-1.0635918,tumulus,osm
node/6591984316,Long Burrow,51.2509678,-1.1251729,tumulus,osm
node/6989621231,node/6989621231,51.0826982,-0.8607551,tumulus,osm
node/6989621233,node/6989621233,51.082241,-0.8632728,tumulus,osm
node/6989621234,node/6989621234,51.0794773,-0.8717108,tumulus,osm
node/6989621235,node/6989621235,51.079776,-0.8733413,tumulus,osm
node/6989621246,node/6989621246,51.0797607,-0.8515705,tumulus,osm
node/6989621247,node/6989621247,51.075878,-0.8590772,tumulus,osm
node/6989621248,node/6989621248,51.075689,-0.8609717,tumulus,osm
node/6989621249,node/6989621249,51.1030212,-0.8699975,tumulus,osm
node/6989621250,node/6989621250,51.1028191,-0.8689032,tumulus,osm
node/6989621251,node/6989621251,51.130864,-0.8536538,tumulus,osm
node/6989621266,node/6989621266,51.1339771,-0.8905773,tumulus,osm
node/7023825293,node/7023825293,52.290568,-4.0282315,cairn,osm
node/7083146044,node/7083146044,51.1170147,-0.8853239,tumulus,osm
node/7089869159,Round cairn Brenig 47,53.109987,-3.5114976,tumulus,osm
node/7089880278,Tir Mostyn Kerb Cairn 1,53.115522,-3.5060358,tumulus,osm
node/7089912946,Cairn - Brenig 14,53.0924598,-3.5201421,tumulus,osm
node/7091670505,Twt-yr-hill Barrows,53.1116454,-3.479014,tumulus,osm
node/7091763381,Capel Hiraddug Ring Cairn,53.0801493,-3.4402372,tumulus,osm
node/7091798768,Capel Hiraddug III Stone Circle,53.0789158,-3.445334,tumulus,osm
node/7096073279,node/7096073279,51.1209234,-0.8753086,tumulus,osm
node/7216083157,Tumuli,50.9825874,-0.9844327,tumulus,osm
node/7489062615,Rhos Goch Round Barrow,51.9756882,-4.6258072,tumulus,osm
node/7575056007,Crug Du,52.1280254,-4.3670295,tumulus,osm
node/7575097403,Crug Bach,52.1239869,-4.3742911,tumulus,osm
node/7716066391,Barrow,51.3801099,-1.3467148,tumulus,osm
node/7768297108,node/7768297108,52.0989851,-4.6995901,tumulus,osm
node/7822802992,node/7822802992,50.7579838,-3.204403,tumulus,osm
node/7822802993,node/7822802993,50.7587824,-3.2059634,tumulus,osm
node/7822802994,node/7822802994,50.7588568,-3.2093839,tumulus,osm
node/7826395297,node/7826395297,50.0666594,-5.1039715,tumulus,osm
node/8072987910,node/8072987910,50.77862,-2.007203,tumulus,osm
node/8199478535,node/8199478535,50.9446106,-0.9822906,tumulus,osm
node/8199478536,node/8199478536,50.9336796,-0.9940781,tumulus,osm
node/8217956775,Obadiah’s Barrow,49.8956837,-6.3348458,tumulus,osm
node/8289562754,node/8289562754,53.2326332,-1.8302362,tumulus,osm
node/8289562757,node/8289562757,53.2194927,-1.8383418,tumulus,osm
node/8289562776,Cronkston Low Bowl Barrow,53.1937637,-1.8265575,tumulus,osm
node/8330726622,Tumulus,50.926422,-1.7137626,tumulus,osm
node/8341395181,node/8341395181,50.7550853,-2.2010584,tumulus,osm
node/8341395182,node/8341395182,50.7572663,-2.2241358,tumulus,osm
node/8358152754,Tumulus,53.2589462,-3.3685217,tumulus,osm
node/8358152755,Tumulus,53.2580439,-3.3685069,tumulus,osm
node/8358152756,Tumulus,53.2577189,-3.3674192,tumulus,osm
node/8358235816,Tumulus,53.220392,-3.3225741,tumulus,osm
node/8358281893,Tumulus,53.220584,-3.3207241,tumulus,osm
node/8373648212,node/8373648212,53.0943096,-3.2060455,tumulus,osm
node/8378393151,node/8378393151,53.2417838,-3.224492,tumulus,osm
node/8379276128,Tumulus,53.2536303,-3.2191959,tumulus,osm
node/8382292483,Tumulus,53.2827024,-3.2847743,tumulus,osm
node/8385241386,Tumulus,53.2808332,-3.2769472,tumulus,osm
node/8385654796,c,53.2815576,-3.2841237,tumulus,osm
node/8385654797,Tumulus,53.2812484,-3.2851453,tumulus,osm
node/8440329046,node/8440329046,53.1989142,-3.3145555,tumulus,osm
node/8441668806,Plas-Yw Round Barrow,53.1935551,-3.256236,tumulus,osm
node/8463441401,Tumulus,53.2652623,-3.2725671,tumulus,osm
node/8463491997,Tumulus,53.2774021,-3.2979915,tumulus,osm
node/8463499917,Tumulus,53.2790034,-3.2950671,tumulus,osm
node/8464143013,Pillow mound,51.7760985,-2.0846909,tumulus,osm
node/8489975451,Tumulus,53.2523781,-3.3475272,tumulus,osm
node/8489975471,Tumulus,53.2517528,-3.3458649,tumulus,osm
node/8557532159,node/8557532159,50.6608903,-2.4413207,tumulus,osm
node/8598261265,node/8598261265,50.9217663,-0.511194,tumulus,osm
node/8598261266,node/8598261266,50.9220823,-0.512628,tumulus,osm
node/8913195070,node/8913195070,50.8068805,-1.5221683,tumulus,osm
node/8988504569,Bedd Gorfal Stone Circle,52.859854,-4.0614647,tumulus,osm
node/9026330228,Motte castrale de Canlers,50.4841031,2.1394667,tumulus,osm
node/9026348252,"Motte castrale ""La Buqueuse""",50.6223777,1.6542149,tumulus,osm
node/9026415624,Motte castrale de Buire-le-Sec,50.382519,1.833644,tumulus,osm
node/9026450028,Deux mottes castrales de Monnecove,50.8061653,2.1119124,tumulus,osm
node/9026467115,Motte féodale,50.5881957,1.8081844,tumulus,osm
node/9031872805,Low Hill bowl barrow,52.3084667,-0.0456721,tumulus,osm
node/9091350151,tumulus,53.2263973,-1.9005758,tumulus,osm
node/9091350192,tumulus,53.2127799,-1.9092618,tumulus,osm
node/9091350194,tumulus,53.2216142,-1.9191848,tumulus,osm
node/9091350349,tumulus,53.2199489,-1.9278227,tumulus,osm
node/9091350411,node/9091350411,53.2319341,-1.9078875,tumulus,osm
node/9091350429,tumulus,53.2183814,-1.9101201,tumulus,osm
node/9091580794,tumulus,53.2130555,-1.8872334,tumulus,osm
node/9237530798,node/9237530798,50.900994,-0.134216,tumulus,osm
node/9325461725,node/9325461725,51.0606349,-1.4394082,tumulus,osm
node/9370802602,Llyn Irddyn Tumulus,52.7807809,-4.0442412,tumulus,osm
node/9371123237,Gibbet Hill,53.249822,-2.5586727,tumulus,osm
node/9440156800,Bowl Barrow,52.8307518,-2.8312187,tumulus,osm
node/9445462366,node/9445462366,50.7776738,-4.2585098,tumulus,osm
node/9445462367,node/9445462367,50.7778434,-4.2561012,tumulus,osm
node/9528923075,tumulus,51.4136261,0.0708588,tumulus,osm
node/9633441282,Tumulus de Tourville,49.52157,-1.33325,tumulus,osm
