map_name,map_type,region,ebook_volume,ebook_page,bearing_at_centre_deg,has_central_line,has_elen_current,has_belinus_current,n_nodes,n_central_vertices,n_elen_vertices,n_belinus_vertices,notes
North_Hampshire_Highclere_estate,area_currents,Southern England,1,1704,346.5,FALSE,TRUE,TRUE,12,0,6,5,"Area map of Highclere estate and surrounding areas. Elen current enters near the Car Park before reaching Beacon Hill; Heaven's Gate at the foot of Sidown Hill, then Highclere Castle, Cemetery Chapel near Dairy Farm and runs up north to St Michael and All Angels. Belinus current enters at Beacon Hill, then continues through Bowl Barrow, Monk's Garden, Folly and The Temple. Meeting point: Beacon Hill."
North_Hampshire_Berkshire_Oxfordshire_Overview,region_overview,Southern England,1,1743 & 1868,346.5,TRUE,TRUE,TRUE,63,49,?,?,"Region overview of North Hampshire / Oxfordshire border, combining maps 1743 and 1868 of 2948. Central line passes through Lower Bullington, East Woodhay, Ashmansworth, Hurstbourne Priors, Kintbury and East Garston. Belinus and Elen currents traced continuously across both maps. Meeting points of both currents: Beacon Hill, Uffington Castle and Dragon Hill"
North_Hampshire_Uffington,area_currents,Southern England,1,1993,346.5,FALSE,TRUE,TRUE,9,0,5,3,"Area currents map of Uffington. Belinus current passes through Uffington Castle, Spring and Dragon Hill. Elen current passes through Uffington Castle, Prehistoric Burial Site, Uffington White Horse, Dragon Hill and Woolstone Springs. Meeting points: Uffington Castle and Dragon Hill. Auxiliary: The Manger (a long narrow dry valley, which stretches for half a kilometre north-west of White Horse Hill)."


