lat,lon
52.5356727,1.741848
52.5364558,1.7384148
52.5377348,1.7329216
52.53842,1.7307383
52.5386027,1.7301482
52.5387235,1.7297888
52.5387871,1.7295447
52.538805,1.7293113
52.5389421,1.727702
52.5390399,1.7267847
52.5391313,1.7256367
52.5392814,1.7241347
52.5394413,1.7228794
52.5396142,1.7215329
52.5396696,1.7209429
52.539686,1.7206478
52.5396762,1.720047
52.5396338,1.7187059
52.5395946,1.7176598
52.539451,1.7157447
52.5391639,1.713202
52.5386941,1.7104876
52.5378458,1.7065609
52.536769,1.7024517
52.5358945,1.6982245
52.5352289,1.6924739
52.534511,1.6880965
52.5340933,1.6847277
52.5336365,1.6818309
52.5332449,1.6785693
52.533023,1.6757798
52.5326836,1.6731191
52.5324226,1.6712952
52.5322137,1.669364
52.5321746,1.6679049
52.5322659,1.6639996
52.5328664,1.6610599
52.5333232,1.6589355
52.5338584,1.6565537
52.5344066,1.6535068
52.5349744,1.6507816
52.5351375,1.6474986
52.5348634,1.64428
52.534263,1.6402459
52.5334407,1.6358685
52.5329055,1.632843
52.5326184,1.6306329
52.5323182,1.6288519
52.5316525,1.6266418
52.5298902,1.6226935
52.5293681,1.6218781
52.5289112,1.6213632
52.5289112,1.6213632
52.5260653,1.6192818
52.522697,1.6157198
52.518519,1.6102695
52.5154374,1.603446
52.5150359,1.6025233
52.5149412,1.6016221
52.5149542,1.6004634
52.5151109,1.5990686
52.5152546,1.5967941
52.5153329,1.595335
52.5153329,1.5935969
52.5153068,1.5916228
52.5149542,1.5883827
52.514667,1.585958
52.5143797,1.5840054
52.5142099,1.5829539
52.5138312,1.5815806
52.5131261,1.579864
52.5123556,1.578126
52.5115459,1.5764308
52.5108799,1.5750575
52.5101878,1.5734267
52.5094956,1.5719891
52.5089601,1.571002
52.5084508,1.5701652
52.5079153,1.5693712
52.5072623,1.5685558
52.5064526,1.5678692
52.5056036,1.5673542
52.5046371,1.5667748
52.503971,1.5664315
52.5034518,1.565997
52.5028868,1.5654874
52.502077,1.5647364
52.5013455,1.5639639
52.500601,1.56317
52.4998564,1.5623331
52.499347,1.5615606
52.498733,1.5607238
52.4983411,1.5598869
52.4981582,1.558857
52.4981844,1.5576768
52.4981844,1.5563035
52.4983019,1.5553379
52.4984326,1.5545011
52.4986938,1.5536642
52.4990335,1.5526557
52.4993862,1.5516257
52.4997911,1.5509391
52.5005226,1.550231
52.5013325,1.5494585
52.5021815,1.5485787
52.502926,1.5478706
52.5035269,1.5473342
52.5041016,1.5467548
52.5050681,1.5458751
52.5056689,1.5453172
52.5061783,1.5447378
52.506753,1.5440726
52.5073537,1.5433645
52.5079023,1.542871
52.5086075,1.5420985
52.5094042,1.5407681
52.5100963,1.5395236
52.5105404,1.5385795
52.5111933,1.5369916
52.5115068,1.5361977
52.5119116,1.5350819
52.5121858,1.5341163
52.5125254,1.5329361
52.5126951,1.5323138
52.5126951,1.5317559
52.5125645,1.5309834
52.5121401,1.5297389
52.5118332,1.528945
52.511337,1.5277004
52.5109974,1.526649
52.5106057,1.5254688
52.51024,1.5242457
52.5099266,1.5227866
52.509796,1.5217566
52.5097307,1.5204692
52.5096392,1.519568
52.5096131,1.5180874
52.5097698,1.5164137
52.5099396,1.5148687
52.5101486,1.5136671
52.5103314,1.5126801
52.5105142,1.5118003
52.5106024,1.5111887
52.5107656,1.5105826
52.5111672,1.5098691
52.5116112,1.5092468
52.5121075,1.5085816
52.5124731,1.5080881
52.5130346,1.5074873
52.5136745,1.5068865
52.5143405,1.5064359
52.5148759,1.5060067
52.5151501,1.5057063
52.5155419,1.5052772
52.515803,1.5046763
52.5161425,1.5035176
52.5163384,1.502316
52.5165212,1.5010285
52.5166909,1.4996123
52.5168215,1.4982605
52.5168607,1.4965653
52.5168346,1.4958787
52.5165473,1.4938617
52.5164167,1.4925098
52.5161295,1.4910936
52.5158683,1.4893985
52.5153852,1.4875102
52.5147714,1.4853859
52.5144189,1.4842916
52.514014,1.4831543
52.5138182,1.4823818
52.5132958,1.4809227
52.5127996,1.4797425
52.5122772,1.4783907
52.511572,1.4769101
52.5109452,1.4756012
52.5102269,1.4737773
52.5096262,1.4724469
52.5090907,1.471653
52.5086728,1.4710307
52.5079284,1.4700437
52.5073276,1.4694428
52.5066876,1.4687777
52.5060346,1.4680696
52.5055252,1.4674902
52.5048591,1.466825
52.5041016,1.4659023
52.5034224,1.4653659
52.5024819,1.4646578
52.5014762,1.4640784
52.5005487,1.4634776
52.4996474,1.4630914
52.4983672,1.4625335
52.4969956,1.4620399
52.496042,1.4617181
52.4947617,1.4613533
52.4938472,1.4611387
52.4926452,1.4607739
52.4914563,1.4604306
52.4905418,1.4600873
52.4893789,1.4593792
52.4881377,1.4585423
52.4870793,1.4576626
52.4865697,1.4569974
52.4861254,1.4557099
52.4859425,1.4546961
52.4857334,1.4539075
52.4853022,1.4523411
52.4850017,1.4509892
52.4844267,1.4483285
52.4840216,1.44629
52.4835643,1.4444447
52.4833813,1.4426637
52.4830677,1.440475
52.4827933,1.4386082
52.482349,1.4370847
52.4817871,1.4356256
52.4812121,1.4344883
